AuxScene | type=Group | parent=<root> | c=1 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
BeatFxChannelSelect | type=Object3D | parent=Effects | c=2 | pos=(0.057, 0.060, 0.022) | rot=(0.000, 0.000, 0.000)
BeatFxChannelSelectBezel | type=Mesh | parent=BeatFxChannelSelect | c=0 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
BeatFxChannelSelectBody | type=Mesh | parent=BeatFxChannelSelectMesh | c=0 | pos=(0.000, 0.001, 0.000) | rot=(0.000, 0.000, 0.000)
BeatFxChannelSelectLabel | type=Mesh | parent=BeatFxChannelSelectMesh | c=0 | pos=(0.000, 0.003, 0.000) | rot=(-1.571, 0.000, 0.000)
BeatFxChannelSelectMesh | type=Object3D | parent=BeatFxChannelSelect | c=3 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
BeatFxChannelSelectTop | type=Mesh | parent=BeatFxChannelSelectMesh | c=0 | pos=(0.000, 0.002, 0.000) | rot=(0.000, 0.000, 0.000)
BeatFxLevelDepthMesh | type=Mesh | parent=BeatFxLevelDepthPivot | c=0 | pos=(0.000, 0.005, 0.000) | rot=(0.000, 0.000, 0.000)
BeatFxLevelDepthOrientationMarker | type=Mesh | parent=BeatFxLevelDepthPivot | c=0 | pos=(0.000, 0.012, 0.003) | rot=(-1.571, 0.000, 0.000)
BeatFxLevelDepthPanelLabel | type=Mesh | parent=ChassisKnobPanelLabels | c=0 | pos=(0.057, 0.060, -0.067) | rot=(1.571, 0.000, 0.000)
BeatFxLevelDepthPivot | type=Object3D | parent=Effects | c=3 | pos=(0.057, 0.060, -0.059) | rot=(0.000, 0.000, 0.000)
BeatFxLevelDepthTopCap | type=Mesh | parent=BeatFxLevelDepthPivot | c=0 | pos=(0.000, 0.011, 0.000) | rot=(0.000, 0.000, 0.000)
BeatFxOnOff | type=Object3D | parent=Effects | c=2 | pos=(0.057, 0.060, -0.089) | rot=(0.000, 0.000, 0.000)
BeatFxOnOffBezel | type=Mesh | parent=BeatFxOnOff | c=0 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
BeatFxOnOffBody | type=Mesh | parent=BeatFxOnOffMesh | c=0 | pos=(0.000, 0.001, 0.000) | rot=(0.000, 0.000, 0.000)
BeatFxOnOffLabel | type=Mesh | parent=BeatFxOnOffMesh | c=0 | pos=(0.000, 0.003, 0.000) | rot=(-1.571, 0.000, 0.000)
BeatFxOnOffMesh | type=Object3D | parent=BeatFxOnOff | c=3 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
BeatFxOnOffOutlineBottom | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.057, 0.060, -0.097) | rot=(-1.571, 0.000, 0.000)
BeatFxOnOffOutlineLeft | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.049, 0.060, -0.089) | rot=(-1.571, 0.000, 0.000)
BeatFxOnOffOutlineRight | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.064, 0.060, -0.089) | rot=(-1.571, 0.000, 0.000)
BeatFxOnOffOutlineTop | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.057, 0.060, -0.082) | rot=(-1.571, 0.000, 0.000)
BeatFxOnOffTop | type=Mesh | parent=BeatFxOnOffMesh | c=0 | pos=(0.000, 0.003, 0.000) | rot=(0.000, 0.000, 0.000)
BeatFxSelect | type=Object3D | parent=Effects | c=2 | pos=(0.057, 0.060, -0.003) | rot=(0.000, 0.000, 0.000)
BeatFxSelectBezel | type=Mesh | parent=BeatFxSelect | c=0 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
BeatFxSelectBody | type=Mesh | parent=BeatFxSelectMesh | c=0 | pos=(0.000, 0.001, 0.000) | rot=(0.000, 0.000, 0.000)
BeatFxSelectLabel | type=Mesh | parent=BeatFxSelectMesh | c=0 | pos=(0.000, 0.003, 0.000) | rot=(-1.571, 0.000, 0.000)
BeatFxSelectMesh | type=Object3D | parent=BeatFxSelect | c=3 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
BeatFxSelectTop | type=Mesh | parent=BeatFxSelectMesh | c=0 | pos=(0.000, 0.003, 0.000) | rot=(0.000, 0.000, 0.000)
BeatLeft | type=Object3D | parent=Effects | c=2 | pos=(0.050, 0.060, -0.028) | rot=(0.000, 0.000, 0.000)
BeatLeftBezel | type=Mesh | parent=BeatLeft | c=0 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
BeatLeftBody | type=Mesh | parent=BeatLeftMesh | c=0 | pos=(0.000, 0.001, 0.000) | rot=(0.000, 0.000, 0.000)
BeatLeftLabel | type=Mesh | parent=BeatLeftMesh | c=0 | pos=(0.000, 0.003, 0.000) | rot=(-1.571, 0.000, 0.000)
BeatLeftMesh | type=Object3D | parent=BeatLeft | c=3 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
BeatLeftTop | type=Mesh | parent=BeatLeftMesh | c=0 | pos=(0.000, 0.003, 0.000) | rot=(0.000, 0.000, 0.000)
BeatRight | type=Object3D | parent=Effects | c=2 | pos=(0.065, 0.060, -0.028) | rot=(0.000, 0.000, 0.000)
BeatRightBezel | type=Mesh | parent=BeatRight | c=0 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
BeatRightBody | type=Mesh | parent=BeatRightMesh | c=0 | pos=(0.000, 0.001, 0.000) | rot=(0.000, 0.000, 0.000)
BeatRightLabel | type=Mesh | parent=BeatRightMesh | c=0 | pos=(0.000, 0.003, 0.000) | rot=(-1.571, 0.000, 0.000)
BeatRightMesh | type=Object3D | parent=BeatRight | c=3 | pos=(0.000, 0.000, 0.000) | rot=(0.000, 0.000, 0.000)
BeatRightTop | type=Mesh | parent=BeatRightMesh | c=0 | pos=(0.000, 0.003, 0.000) | rot=(0.000, 0.000, 0.000)
BrowseEncoderMesh | type=Mesh | parent=BrowseEncoderPivot | c=0 | pos=(0.000, 0.005, 0.000) | rot=(0.000, 0.000, 0.000)
BrowseEncoderOrientationMarker | type=Mesh | parent=BrowseEncoderPivot | c=0 | pos=(0.000, 0.013, 0.002) | rot=(-1.571, 0.000, 0.000)
BrowseEncoderPanelLabel | type=Mesh | parent=ChassisKnobPanelLabels | c=0 | pos=(0.000, 0.060, 0.113) | rot=(1.571, 0.000, 0.000)
